track_id,genre,amazement,solemnity,tenderness,nostalgia,calmness,power,joyful_activation,tension,sadness,mood,liked,disliked,age,gender,mother tongue,file_name,file_path
1,classical,0,1,0,0,0,0,1,1,0,3,1,0,21,1,English,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,0,1,0,0,0,0,0,3,0,1,41,1,Dutch,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,0,1,0,0,0,0,1,3,0,0,24,1,English,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,0,0,1,0,0,0,0,3,0,0,32,0,Spanish,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,0,1,1,0,0,0,0,4,0,1,21,0,English,1.wav,data/Emotify\classical\1.wav
1,classical,0,1,0,1,0,0,0,0,1,3,0,0,45,1,English,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,0,0,1,0,0,0,0,4,0,1,30,0,German,1.wav,data/Emotify\classical\1.wav
1,classical,0,1,1,0,1,0,0,0,0,4,1,0,70,1,English,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,0,0,1,0,1,0,0,2,1,0,60,0,English,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,0,0,1,0,0,0,0,5,1,0,54,0,German,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,0,1,1,0,1,0,0,4,1,0,16,1,English,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,1,1,0,0,0,0,0,4,0,0,30,1,Dutch,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,1,1,0,0,0,0,1,1,0,0,33,0,Russian,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,0,1,1,0,0,0,1,4,0,0,16,1,Swedish,1.wav,data/Emotify\classical\1.wav
1,classical,1,0,0,0,1,0,0,0,1,3,0,0,33,0,Dutch,1.wav,data/Emotify\classical\1.wav
1,classical,0,1,0,0,0,0,0,0,0,4,0,1,41,0,English,1.wav,data/Emotify\classical\1.wav
1,classical,1,1,0,0,0,0,1,0,0,5,1,0,40,0,German,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,1,0,0,0,0,0,1,5,1,0,61,0,English,1.wav,data/Emotify\classical\1.wav
1,classical,0,1,0,0,0,1,0,0,1,3,0,0,26,0,French,1.wav,data/Emotify\classical\1.wav
1,classical,1,0,0,0,1,0,0,0,0,3,0,0,22,0,Malay,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,0,1,0,0,0,0,0,4,0,0,51,0,Dutch,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,0,0,1,0,0,0,0,4,1,0,20,0,English,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,0,0,1,0,0,0,0,4,1,0,41,1,Russian,1.wav,data/Emotify\classical\1.wav
1,classical,0,1,1,0,1,0,0,0,0,4,1,0,63,0,Dutch,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,0,1,1,0,0,0,0,3,0,0,37,0,German,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,1,1,0,0,0,0,1,1,1,0,33,0,Russian,1.wav,data/Emotify\classical\1.wav
1,classical,0,1,0,0,1,0,0,0,1,4,0,1,51,0,English,1.wav,data/Emotify\classical\1.wav
1,classical,1,1,0,0,1,0,0,0,0,3,0,0,21,1,English,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,0,0,0,0,0,0,1,3,0,0,30,0,English,1.wav,data/Emotify\classical\1.wav
1,classical,0,1,0,1,0,0,0,0,1,3,0,0,60,1,English,1.wav,data/Emotify\classical\1.wav
1,classical,1,0,1,0,1,0,0,0,0,4,1,0,21,0,English,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,0,0,1,0,0,0,0,4,0,0,46,1,French,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,0,0,0,0,0,0,1,4,0,1,25,1,English,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,0,0,1,0,0,0,0,3,0,0,42,1,Tamil,1.wav,data/Emotify\classical\1.wav
1,classical,0,1,0,0,1,0,0,0,1,4,1,0,28,0,English,1.wav,data/Emotify\classical\1.wav
1,classical,0,1,1,0,1,0,0,0,0,2,1,0,37,0,German,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,0,1,0,0,0,0,0,4,1,0,57,1,English,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,0,1,1,0,0,1,0,4,0,0,22,1,English,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,1,0,0,0,0,1,1,3,0,1,24,0,English,1.wav,data/Emotify\classical\1.wav
1,classical,1,0,1,0,1,0,0,0,0,4,1,0,30,0,Dutch,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,0,0,1,0,0,0,0,5,0,0,49,0,Swedish,1.wav,data/Emotify\classical\1.wav
1,classical,0,1,0,0,1,0,0,0,0,3,0,0,41,1,English,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,0,0,1,0,0,0,1,3,0,0,51,0,Dutch,1.wav,data/Emotify\classical\1.wav
1,classical,0,1,0,0,1,0,0,0,0,3,0,0,27,0,Catalan,1.wav,data/Emotify\classical\1.wav
1,classical,1,1,0,0,1,0,0,0,0,2,1,0,23,0,English,1.wav,data/Emotify\classical\1.wav
1,classical,0,1,0,0,1,0,0,0,0,4,1,0,24,1,Russian,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,0,0,1,0,0,0,0,4,1,0,22,0,Russian,1.wav,data/Emotify\classical\1.wav
1,classical,0,0,0,0,0,0,0,0,0,2,0,1,28,1,Estonian,1.wav,data/Emotify\classical\1.wav
2,classical,0,0,0,0,1,0,0,0,0,3,1,0,41,1,Dutch,2.wav,data/Emotify\classical\2.wav
2,classical,0,1,0,1,1,0,0,0,0,3,1,0,18,0,Dutch,2.wav,data/Emotify\classical\2.wav
2,classical,0,0,0,0,1,1,0,0,0,5,1,0,22,0,English,2.wav,data/Emotify\classical\2.wav
2,classical,0,1,1,0,1,0,0,0,0,4,1,0,22,1,French,2.wav,data/Emotify\classical\2.wav
2,classical,0,0,0,0,1,0,0,0,0,5,1,0,36,1,Japanese,2.wav,data/Emotify\classical\2.wav
2,classical,0,1,1,0,1,0,0,0,0,5,1,0,54,0,German,2.wav,data/Emotify\classical\2.wav
2,classical,0,0,1,0,1,0,0,0,0,5,0,0,46,1,Dutch,2.wav,data/Emotify\classical\2.wav
2,classical,0,0,0,0,1,0,0,0,0,3,0,0,45,1,English,2.wav,data/Emotify\classical\2.wav
2,classical,1,1,0,0,0,0,0,0,0,3,1,0,22,0,Dutch,2.wav,data/Emotify\classical\2.wav
2,classical,0,0,0,0,1,0,0,0,0,4,0,1,30,0,German,2.wav,data/Emotify\classical\2.wav
2,classical,0,0,1,0,1,0,0,0,0,4,1,0,70,1,English,2.wav,data/Emotify\classical\2.wav
2,classical,0,0,1,0,1,0,0,0,0,2,1,0,46,1,Greek,2.wav,data/Emotify\classical\2.wav
2,classical,0,1,0,1,0,0,1,0,0,4,1,0,16,1,English,2.wav,data/Emotify\classical\2.wav
2,classical,0,0,1,1,1,0,0,0,0,3,0,0,32,0,English,2.wav,data/Emotify\classical\2.wav
2,classical,0,0,0,1,1,0,0,0,0,4,0,0,30,1,Dutch,2.wav,data/Emotify\classical\2.wav
2,classical,0,0,1,0,1,0,0,0,0,3,1,0,33,0,French,2.wav,data/Emotify\classical\2.wav
2,classical,0,1,0,0,1,0,0,0,0,3,0,0,27,0,Catalan,2.wav,data/Emotify\classical\2.wav
2,classical,0,0,0,1,0,0,0,0,0,4,1,0,51,0,Dutch,2.wav,data/Emotify\classical\2.wav
2,classical,0,0,1,1,1,0,0,0,0,4,1,0,63,0,Dutch,2.wav,data/Emotify\classical\2.wav
2,classical,0,0,0,1,1,0,0,0,1,3,0,0,37,0,German,2.wav,data/Emotify\classical\2.wav
2,classical,0,0,1,1,1,0,0,0,0,3,0,1,27,0,German,2.wav,data/Emotify\classical\2.wav
2,classical,0,0,0,1,1,0,0,0,1,1,0,0,33,0,Russian,2.wav,data/Emotify\classical\2.wav
2,classical,0,0,0,0,1,0,0,0,1,3,1,0,30,1,English,2.wav,data/Emotify\classical\2.wav
2,classical,0,1,1,0,1,0,0,0,0,2,1,0,37,0,German,2.wav,data/Emotify\classical\2.wav
